question_id;chapitre;titre;sous_titre;element_nom;notes_structures_id;Unnamed: 6;Unnamed: 7
38.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts dressés ;Température de service ;5.0;;
39.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les yaourts ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
40.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les yaourts ;Accessibilité / réapprovisionnement ;5.0;;
41.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts en libre-service ;Affichage, lisibilité (nom, tarifs...) ;5.0;;
42.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts en libre-service ;Accessibilité / réapprovisionnement ;5.0;;
43.0;EXPERIENCE CONVIVES;LES DENRÉES ;Les desserts en libre-service ;Température de service ;5.0;;
44.0;EXPERIENCE CONVIVES;LES DENRÉES ;Pain / Condiments ;Affichage / réapprovisionnement pain ;5.0;;
45.0;EXPERIENCE CONVIVES;LES DENRÉES ;Pain / Condiments ;Affichage / réapprovisionnement condiments ;5.0;;
46.0;EXPERIENCE CONVIVES;LES DENRÉES ;Pain / Condiments ;Qualité du pain / condiments ;5.0;;
47.0;EXPERIENCE CONVIVES;EN SALLE ;;Propreté des chaises et des tables ;5.0;;
48.0;EXPERIENCE CONVIVES;EN SALLE ;;Propreté des micro-ondes;5.0;;
49.0;EXPERIENCE CONVIVES;EN SALLE ;;Propreté des fontaines à eau;5.0;;
50.0;EXPERIENCE CONVIVES;EN SALLE ;;Disponibilité des places assises;5.0;;
51.0;EXPERIENCE CONVIVES;EN SALLE ;;Ambiance (acoustique, luminosité) ;5.0;;
52.0;EXPERIENCE CONVIVES;SORTIE DU SELF ;;Accessibilité convoyeurs / échelles ;5.0;;
53.0;EXPERIENCE CONVIVES;SORTIE DU SELF ;;Propreté des murs et des sols ;5.0;;
54.0;EXPERIENCE CONVIVES;SORTIE DU SELF ;;Propreté du convoyeur / échelles ;5.0;;
